Name,Zone,Price,URL,Bedrooms,Area,Floor,Description,Source,Scraped At
Apartamento Remax,"Campolide, Lisboa",1100,,T1,51 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Campo de Ourique, Lisboa",1150,,T1,51 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Campo de Ourique, Lisboa",1050,,T1,56 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Campo de Ourique, Lisboa",1100,,T1,60 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Lumiar, Lisboa",950,,T1,63 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Alvalade, Lisboa",700,,T1,37 m²,0,,Remax,2025-01-19 15:42:39
Apartamento Remax,"Campolide, Lisboa",1100,,T1,51 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Campo de Ourique, Lisboa",1150,,T1,51 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Campo de Ourique, Lisboa",1050,,T1,56 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Campo de Ourique, Lisboa",1100,,T1,60 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Lumiar, Lisboa",950,,T1,63 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Alvalade, Lisboa",700,,T1,37 m²,0,,Remax,2025-01-19 15:45:35
Apartamento Remax,"Campolide, Lisboa",1100,https://www.remax.pt/pt/imoveis/arrendamento-apartamento-t1-lisboa-campolide/125831006-149,T1,51 m²,0,,Remax,2025-01-19 15:48:16
Apartamento Remax,"Campo de Ourique, Lisboa",1150,https://www.remax.pt/pt/imoveis/arrendamento-apartamento-t1-lisboa-campo-de-ourique/121831120-407,T1,51 m²,0,,Remax,2025-01-19 15:48:16
Apartamento Remax,"Campo de Ourique, Lisboa",1050,https://www.remax.pt/pt/imoveis/arrendamento-apartamento-t1-lisboa-campo-de-ourique/122911652-59,T1,56 m²,0,,Remax,2025-01-19 15:48:16
Apartamento Remax,"Campo de Ourique, Lisboa",1100,https://www.remax.pt/pt/imoveis/arrendamento-apartamento-t1-lisboa-campo-de-ourique/122911652-58,T1,60 m²,0,,Remax,2025-01-19 15:48:16
Apartamento Remax,"Lumiar, Lisboa",950,https://www.remax.pt/pt/imoveis/arrendamento-apartamento-t0-lisboa-lumiar/125191046-46,T1,63 m²,0,,Remax,2025-01-19 15:48:16
